lda,n,k
0.300038398,1.770266973,0.210579897
0.305,1.78446439,0.217068451
0.31,1.806617106,0.230515841
0.315,1.826921252,0.236826611
0.32,1.839478783,0.236646728
0.325,1.858962001,0.244401839
0.33,1.905584119,0.258975163
0.335,1.95016407,0.23447457
0.34,1.959701812,0.182769302
0.345,1.946968524,0.130042023
0.35,1.934052746,0.100858456
0.355,1.911148327,0.078257873
0.36,1.896606728,0.070275549
0.365,1.882520375,0.061172632
0.37,1.87043286,0.054163504
0.375,1.858436169,0.047126034
0.38,1.849156606,0.040115088
0.385,1.839958071,0.03710036
0.39,1.831493023,0.034428788
0.395,1.823850963,0.030005306
0.4,1.816851123,0.028876328
0.405,1.810226904,0.026147008
0.41,1.803013557,0.023310668
0.415,1.800063743,0.022846179
0.42,1.793411572,0.020805569
0.425,1.788031967,0.019130378
0.43,1.782894923,0.018568805
0.435,1.780031823,0.016790183
0.44,1.775483247,0.016998353
0.445,1.771207558,0.016485788
0.45,1.768063418,0.013616918
0.454988185,1.762266038,0.013732321
0.46,1.760283636,0.013734408
0.465,1.75680516,0.013687126
0.47,1.754239328,0.01216252
0.475,1.751168532,0.010715329
0.48,1.748368279,0.010680279
0.485,1.745315794,0.011096539
0.49,1.742377299,0.011093347
0.495,1.740525857,0.010110367
0.5,1.738015406,0.00920755
0.505,1.736933141,0.00762863
0.51,1.734182254,0.007630939
0.515,1.731157953,0.007629858
0.52,1.732228596,0.007621322
0.525,1.730909271,0.007872477
0.53,1.728309094,0.007664035
0.535,1.72586381,0.008763342
0.54,1.725561867,0.007522837
0.545,1.722496021,0.007632446
0.55,1.722383038,0.007629652
0.555,1.719740047,0.007629769
0.56,1.718577667,0.007637632
0.565,1.716847,0.006595271
0.57,1.715420224,0.0060403
0.575,1.714132529,0.004862604
0.58,1.712518488,0.004598619
0.585,1.711155125,0.004578827
0.59,1.710280325,0.004577771
0.595,1.708301559,0.004577825
0.6,1.708339139,0
0.605,1.705358209,0
0.61,1.705412228,0
0.615,1.70451001,0
0.62,1.702573406,0
0.625,1.702516339,0
0.63,1.701059835,0
0.635,1.699656034,0
0.64,1.699692363,0
0.645,1.698873134,0
0.65,1.6966508,0
0.655,1.696815843,0
0.66,1.696805387,0
0.665,1.694182894,0
0.67,1.693943075,0
0.675,1.69391964,0
0.68,1.692411035,0
0.685,1.692543728,0
0.69,1.691102875,0
0.695,1.691084137,0
0.7,1.691061196,0
0.705,1.689314503,0
0.71,1.688219537,0
0.715,1.688216495,0
0.72,1.688373385,0
0.725,1.686825455,0
0.73,1.68684977,0
0.735,1.685357765,0
0.74,1.685354918,0
0.745,1.685365153,0
0.75,1.684753518,0
0.755,1.683983951,0
0.76,1.682495193,0
0.765,1.682087556,0
0.77,1.682076046,0
0.775,1.68249737,0
0.78,1.682568303,0
0.785,1.681071433,0
0.79,1.681151027,0
0.795,1.679651009,0
0.8,1.679623172,0
0.805,1.679622211,0
0.81,1.679647919,0
0.815,1.67816152,0
0.82,1.678144528,0
0.825008861,1.678622037,0
0.830008861,1.678439827,0
0.835008861,1.67841488,0
0.84,1.676689718,0
0.845,1.676763778,0
0.85,1.676758637,0
0.855,1.676758834,0
0.86,1.676758058,0
0.865,1.676745906,0
0.87,1.675210088,0
0.875,1.673761899,0
0.88,1.673896611,0
0.885,1.673893668,0
0.89,1.673893704,0
0.895,1.673894395,0
0.9,1.673853039,0
0.905,1.672296129,0
0.91,1.672730296,0
0.915,1.67245729,0
0.92,1.672462739,0
0.925,1.672458143,0
0.93,1.672583922,0
0.935,1.671062496,0
0.94,1.671028568,0
0.945,1.671028601,0
0.95,1.671028622,0
0.955,1.671028621,0
0.96,1.671028648,0
0.965,1.671028446,0
0.97,1.670999776,0
0.975,1.669486321,0
0.98,1.66959898,0
0.985,1.669595999,0
0.99,1.66959637,0
0.995,1.669620741,0
