lda,n,k
0.209813875,1.205167769,0.777929626
0.210884354,1.222672758,0.798323117
0.211965812,1.244326138,0.815829263
0.213058419,1.260686925,0.827863096
0.214162349,1.278391591,0.838568479
0.215277778,1.30326118,0.85063291
0.216404887,1.328084492,0.854759463
0.21754386,1.350247563,0.858247472
0.218694885,1.372808204,0.860265684
0.219858156,1.39300396,0.854399437
0.221033868,1.417222697,0.84981004
0.222222222,1.439647304,0.845413099
0.223423423,1.456615022,0.838588325
0.224637681,1.472447709,0.827368219
0.225865209,1.483325476,0.818866149
0.227106227,1.49873817,0.806564841
0.228360958,1.505703156,0.796996908
0.22962963,1.511502144,0.786612067
0.230912477,1.514964652,0.773945302
0.232209738,1.51595023,0.767509693
0.233521657,1.512488228,0.758043868
0.234848485,1.510381658,0.752602415
0.236190476,1.503403517,0.752944286
0.237547893,1.497886216,0.749139642
0.238921002,1.489735679,0.752970964
0.240310078,1.483418953,0.755381354
0.2417154,1.476085639,0.761263334
0.243137255,1.465287298,0.771025499
0.244575937,1.458943044,0.783748815
0.246031746,1.453697313,0.799560104
0.24750499,1.447598468,0.817855565
0.248995984,1.445274741,0.840948602
0.250505051,1.440295042,0.864056861
0.25203252,1.444975289,0.886519457
0.253578732,1.44894378,0.91418156
0.255144033,1.456615997,0.944243544
0.256728778,1.471023969,0.973927174
0.258333333,1.485273594,1.005403313
0.259958071,1.509480696,1.041137273
0.261603376,1.543683508,1.063775157
0.263269639,1.577003863,1.089740761
0.264957265,1.611941573,1.107426071
0.266666667,1.651404186,1.131195778
0.268398268,1.713148715,1.146140802
0.270152505,1.758847763,1.152895932
0.271929825,1.816839431,1.153170666
0.273730684,1.863431798,1.144572065
0.275555556,1.912484547,1.123179035
0.277404922,1.968589305,1.100366346
0.279279279,2.022056679,1.069307494
0.281179138,2.071144706,1.038269351
0.283105023,2.102987088,1.004283461
0.285057471,2.130966391,0.967134969
0.287037037,2.153711367,0.913945498
0.289044289,2.174859366,0.871761997
0.291079812,2.182123214,0.816923181
0.293144208,2.183618284,0.774250875
0.295238095,2.181198375,0.74093471
0.29736211,2.16968353,0.715386444
0.299516908,2.157473105,0.684065991
0.301703163,2.145950798,0.654439673
0.303921569,2.130941743,0.629170832
0.30617284,2.114791671,0.609071891
0.308457711,2.092803775,0.59733626
0.310776942,2.072738683,0.585598202
0.313131313,2.058744524,0.58211409
0.315521628,2.034978063,0.581119025
0.317948718,2.011252019,0.592079554
0.320413437,1.999209537,0.60211585
0.322916667,1.984078386,0.615816149
0.325459318,1.977154435,0.633623588
0.328042328,1.978411605,0.658828285
0.330666667,1.98432883,0.686898602
0.333333333,2.003815829,0.716818468
0.33604336,2.024527686,0.754443207
0.338797814,2.073342259,0.774953356
0.341597796,2.122520913,0.77795218
0.344444444,2.170658398,0.772157345
0.347338936,2.224927241,0.749187283
0.350282486,2.278869248,0.725909643
0.353276353,2.319927685,0.659808656
0.356321839,2.343024349,0.619552983
0.35942029,2.360222693,0.58613963
0.362573099,2.365982797,0.535590085
0.365781711,2.362284284,0.48758816
0.369047619,2.353096188,0.445120175
0.372372372,2.33748882,0.410596996
0.375757576,2.322062276,0.378011325
0.379204893,2.304063464,0.357988251
0.382716049,2.284010764,0.335686617
