lda,n,k
0.3,1.56196824,0.027680663
0.31,1.37846402,0.06508492
0.32,1.43513735,0.054969962
0.33,1.48766224,0.045792919
0.34,1.60046861,0.031573904
0.35,1.51442504,0.049898911
0.36,1.51597556,0.053124229
0.37,1.52014606,0.056400708
0.38,1.52404533,0.057846517
0.39,1.5281841,0.056054048
0.4,1.52983762,0.052837597
0.41,1.53083246,0.050132295
0.42,1.53137931,0.046822068
0.43,1.53157576,0.042993568
0.44,1.53146376,0.038856011
0.45,1.53034701,0.034774018
0.46,1.52911487,0.030362026
0.47,1.52730566,0.02633573
0.48,1.52509711,0.022608578
0.49,1.52232333,0.019327121
0.5,1.51988423,0.01644818
0.51,1.51712952,0.013714713
0.52,1.51461449,0.011210961
0.53,1.5122415,0.008776557
0.54,1.50970012,0.006766732
0.55,1.50749253,0.004917885
0.56,1.50544811,0.002952272
0.57,1.50353634,0.001205706
0.58,1.50152536,0
0.59,1.4996042,0
0.6,1.49793011,0
0.61,1.49608649,0
0.62,1.4949083,0
0.63,1.49305856,0
0.64,1.4918401,0
0.65,1.49057918,0
0.66,1.4895072,0
0.67,1.48839034,0
0.68,1.48756704,0
0.69,1.48632549,0
0.7,1.48596856,0
0.71,1.48525,0
0.72,1.48434741,0
0.73,1.48395339,0
0.74,1.48350663,0
0.75,1.48287665,0
0.76,1.48261751,0
0.77,1.4821083,0
0.78,1.48225994,0
0.79,1.48231875,0
0.8,1.48191335,0
0.81,1.48210708,0
0.82,1.48169052,0
0.83,1.48164888,0
0.84,1.48176227,0
0.85,1.4830419,0
0.86,1.48322469,0
0.87,1.48309319,0
0.88,1.48347397,0
0.89,1.48389915,0
0.9,1.48410639,0
0.91,1.48448602,0
0.92,1.48487143,0
0.93,1.48498653,0
0.94,1.48556314,0
0.95,1.48576942,0
0.96,1.48663035,0
0.97,1.4864297,0
0.98,1.48724276,0
0.99,1.48784464,0
1,1.48863384,0
