lda,n,k
350,1.450621516,0.431182682
355,1.471080675,0.474593966
360,1.502573359,0.507469021
365,1.545413169,0.554160331
370,1.584598271,0.597007168
375,1.652103543,0.626255874
380,1.73055584,0.657398264
385,1.809104975,0.658478163
390,1.92023648,0.639442306
395,1.993692145,0.599619216
400,2.086992899,0.533940692
405,2.16220747,0.455593516
410,2.19774221,0.325096065
415,2.16741707,0.169451704
420,2.090213533,0.08121323
425,2.001669799,0.044900437
430,1.953580341,0.039984478
435,1.92229156,0.037241064
440,1.896542876,0.034615558
445,1.877133575,0.032683234
450,1.861079633,0.031200949
455,1.8437812,0.029836159
460,1.829726663,0.029140145
465,1.818541613,0.029140111
470,1.807422761,0.029536787
475,1.799328481,0.030577839
480,1.792538975,0.031677911
485,1.78615026,0.033424093
490,1.782222736,0.033426696
495,1.778195002,0.034364619
500,1.772644306,0.034367451
505,1.770815986,0.033952153
510,1.768818759,0.032740841
515,1.767556971,0.031308789
520,1.762259482,0.029423512
525,1.762053724,0.026960343
530,1.758267231,0.024390886
535,1.756440711,0.021987835
540,1.751660758,0.019869682
545,1.749997165,0.017669291
550,1.747873916,0.015601449
555,1.742094057,0.013770883
560,1.739221329,0.012100768
565,1.736437649,0.010407627
570,1.732586237,0.009607719
575,1.730702094,0.008468385
580,1.727169164,0.007715489
585,1.725948043,0.006982284
590,1.719844257,0.006386505
595,1.719294455,0.005956604
600,1.717420525,0.005561284
605,1.715595412,0.005222113
610,1.709068249,0.005005205
615,1.708800274,0.004702737
620,1.707674508,0.004475618
625,1.703096767,0.004254642
630,1.703083906,0.004093956
635,1.702964453,0.00390608
640,1.698340437,0.00376851
645,1.698320444,0.003625122
650,1.698339404,0.003471148
655,1.692711623,0.003335629
660,1.692604334,0.00321757
665,1.692604318,0.003156355
670,1.692621434,0.003063078
675,1.687049182,0.002914477
680,1.686888178,0.002802287
685,1.686888188,0.00272257
690,1.686888531,0.002635859
695,1.684984491,0.002579777
700,1.682123144,0.002467161
705,1.682124746,0.00239707
710,1.68212476,0.002327993
715,1.681353065,0.002299765
720,1.674760751,0.002197054
725,1.674503252,0.002135703
730,1.674503241,0.002074666
735,1.674503241,0.002014776
740,1.674503189,0.001978504
745,1.673289269,0.001927508
750,1.668800381,0.001876266
755,1.668787114,0.001813553
760,1.668787112,0.001767128
765,1.668787112,0.001706136
770,1.668787112,0.00168041
775,1.668787169,0.001651919
780,1.666882399,0.001603922
785,1.664021291,0.001556219
790,1.664023671,0.001555911
795,1.664023671,0.001502419
800,1.664023671,0.001427116
805,1.664023671,0.001374407
810,1.664023464,0.001340606
815,1.662665108,0.001301344
820,1.65830756,0.001264792
825,1.658307544,0.001229931
830,1.658307542,0.001219721
835,1.658307542,0.001249234
840,1.658307542,0.001235954
845,1.658307542,0.001193872
850,1.658307541,0.001174134
855,1.658312591,0.001161507
860,1.654732596,0.001129658
865,1.652591167,0.001105637
870,1.652591413,0.001102515
875,1.652591413,0.00105759
880,1.652591413,0.001053622
885,1.652591413,0.001035041
890,1.652591413,0.001005812
895,1.652591413,0.000995935
900,1.652591413,0.000979967
905,1.652591151,0.000963099
910,1.6510313,0.000937828
915,1.647827409,0.000936901
920,1.647827971,0.00091706
925,1.647827972,0.000896329
930,1.647827972,0.000887289
935,1.647827972,0.000879007
940,1.647827972,0.000863233
945,1.647827972,0.000847339
950,1.647827972,0.000835102
955,1.647827972,0.00081316
960,1.647827979,0.000808111
965,1.647706447,0.000796301
970,1.642050181,0.000786206
975,1.642111837,0.000777768
980,1.642111843,0.000760675
985,1.642111843,0.000760515
990,1.642111843,0.000736509
995,1.642111843,0.000735993
1000,1.642111843,0.000736299
1005,1.642111843,0.000723903
1010,1.642111843,0.000712892
1015,1.642111843,0.000692855
1020,1.642111843,0.000686908
1025,1.642111597,0.000673999
1030,1.639723405,0.000674007
1035,1.636342294,0.000658316
1040,1.634490087,0.000652146
1045,1.634490337,0.000652003
1050,1.634490337,0.00063054
1055,1.634490337,0.000624068
1060,1.634490337,0.000623981
1065,1.634490337,0.000610535
1070,1.634490337,0.000610489
1075,1.634490337,0.000600806
1080,1.634490337,0.000587224
1085,1.634490337,0.000587446
1090,1.634490337,0.000577619
1095,1.634490224,0.000577827
1100,1.633671659,0.000575522
1105,1.629714984,0.000552924
1110,1.629726891,0.00055296
1115,1.629726896,0.00055171
1120,1.629726896,0.000540931
1125,1.629726896,0.00054093
1130,1.629726896,0.000540086
1135,1.629726896,0.00052458
1140,1.629726896,0.000520505
1145,1.629726896,0.000520631
1150,1.629726896,0.000513729
1155,1.629726896,0.000506374
1160,1.629726896,0.000506355
1165,1.629726896,0.000489759
1170,1.629726898,0.000489954
1175,1.629733362,0.000489948
1180,1.625931343,0.000479159
1185,1.622107074,0.000479296
1190,1.622105391,0.000479296
1195,1.622105391,0.000479296
