"λ,n (nm)",n,k,Reference,Details
300,1.5832708,0.25573298," E. Raoult,  R. Bodeux,  S. Jutteau,  S. Rives,  A. Yaiche,  D. Coutancier,  J. Rousset and  S. Collin, 'Optical characterizations and modelling of semitransparent perovskite solar cells for tandem applications', <i>in 36th EU PVSEC</i>, pp.757-763, (2019)",-
305,1.5885533,0.2687482,,
310,1.6069717,0.2751615,,
315,1.623279,0.2611613,,
320,1.6238616,0.24338469,,
325,1.6154191,0.2328428,,
330,1.6050532,0.22987229,,
335,1.5954845,0.23244686,,
340,1.5876158,0.23956275,,
345,1.5818084,0.25058514,,
350,1.5786871,0.26554915,,
355,1.5793738,0.28469092,,
360,1.5856403,0.3080989,,
365,1.6000473,0.33527794,,
370,1.6262715,0.36444637,,
375,1.669844,0.38987914,,
380,1.730488,0.4013392,,
385,1.8004181,0.38776582,,
390,1.864684,0.34586084,,
395,1.9102831,0.28167063,,
400,1.9283757,0.20646669,,
405,1.9141303,0.14280848,,
410,1.8898255,0.09405553,,
415,1.8606601,0.057809185,,
420,1.8304901,0.033173222,,
425,1.8037223,0.019412994,,
430,1.7795103,0.009735954,,
435,1.7577084,0.003571698,,
440,1.7404901,0.001520196,,
445,1.7253116,0.000361414,,
450,1.7126932,0.00030552,,
455,1.7025499,0.000306931,,
460,1.6932067,0.000320214,,
465,1.6853975,0.000334064,,
470,1.6781449,0.000347933,,
475,1.6716391,0.000361825,,
480,1.6657532,0.000376396,,
485,1.6602352,0.000391369,,
490,1.6553048,0.000406685,,
495,1.6505625,0.00042211,,
500,1.6463294,0.000438248,,
505,1.6422138,0.000454551,,
510,1.6385036,0.000471461,,
515,1.634902,0.000488534,,
520,1.6315932,0.00050637,,
525,1.6284221,0.000524566,,
530,1.625426,0.000543237,,
535,1.6226187,0.000562418,,
540,1.6198695,0.000581838,,
545,1.6173726,0.00060229,,
550,1.6148758,0.000622743,,
555,1.612591,0.000644388,,
560,1.610362,0.000666346,,
565,1.6082,0.000688681,,
570,1.6062039,0.000711953,,
575,1.604208,0.000735224,,
580,1.602347,0.000759731,,
585,1.6005539,0.000784858,,
590,1.5987607,0.000809985,,
595,1.5971316,0.000836912,,
600,1.5955167,0.000863995,,
605,1.593908,0.000891159,,
610,1.5924499,0.000920259,,
615,1.590992,0.000949359,,
620,1.5895362,0.000978497,,
625,1.5882165,0.001009953,,
630,1.586897,0.001041408,,
635,1.5855775,0.001072864,,
640,1.5843606,0.001106504,,
645,1.5831639,0.001140571,,
650,1.581967,0.001174637,,
655,1.5808235,0.001210349,,
660,1.5797354,0.001247772,,
665,1.5786473,0.001285194,,
670,1.5775592,0.001322617,,
675,1.5765641,0.001363574,,
680,1.5755725,0.001404667,,
685,1.5745808,0.00144576,,
690,1.5736097,0.001487844,,
695,1.5727037,0.001533067,,
700,1.5717977,0.001578291,,
705,1.5708917,0.001623514,,
710,1.5700088,0.001670234,,
715,1.5691782,0.001720384,,
720,1.5683478,0.001770533,,
725,1.5675173,0.001820683,,
730,1.5666959,0.001871644,,
735,1.5659319,0.001927751,,
740,1.5651679,0.001983859,,
745,1.5644039,0.002039966,,
750,1.5636399,0.002096073,,
755,1.5629177,0.002156984,,
760,1.562212,0.002219798,,
765,1.5615064,0.002282613,,
770,1.5608007,0.002345427,,
775,1.560096,0.002408407,,
780,1.5594412,0.002479616,,
785,1.5587863,0.002550825,,
790,1.5581315,0.002622034,,
795,1.5574765,0.002693244,,
800,1.5568225,0.00276466,,
805,1.5562114,0.002846046,,
810,1.5556003,0.002927431,,
815,1.5549891,0.003008816,,
820,1.554378,0.003090201,,
825,1.5537668,0.003171587,,
830,1.5531812,0.003261667,,
835,1.5526069,0.003355695,,
840,1.5520328,0.003449723,,
845,1.5514586,0.003543751,,
850,1.5508845,0.00363778,,
855,1.5503103,0.003731808,,
860,1.549766,0.003841308,,
865,1.5492221,0.003951008,,
870,1.5486782,0.004060707,,
875,1.5481342,0.004170407,,
880,1.5475904,0.004280106,,
885,1.5470464,0.004389805,,
890,1.5465242,0.004517122,,
895,1.5460048,0.004646848,,
900,1.5454854,0.004776573,,
905,1.544966,0.004906299,,
910,1.5444467,0.005036025,,
915,1.5439273,0.00516575,,
920,1.5434138,0.005303873,,
925,1.5429124,0.005459861,,
930,1.542411,0.00561585,,
935,1.5419096,0.005771838,,
940,1.5414082,0.005927827,,
945,1.5409068,0.006083816,,
950,1.5404055,0.006239804,,
955,1.5399073,0.006404614,,
960,1.5394187,0.006595183,,
965,1.5389302,0.006785751,,
970,1.5384415,0.00697632,,
975,1.5379529,0.007166888,,
980,1.5374643,0.007357457,,
985,1.5369757,0.007548025,,
990,1.5364871,0.007738594,,
995,1.5360035,0.007958427,,
1000,1.5355229,0.008195795,,
1005,1.5350424,0.008433164,,
1010,1.5345619,0.008670533,,
1015,1.5340813,0.008907902,,
1020,1.5336008,0.009145271,,
