lda,n,k
0.3,1.92731817,0.377958692
0.31,1.82877516,0.229378065
0.32,1.79775235,0.300958716
0.33,1.86381003,0.362150518
0.34,1.95084048,0.338902524
0.35,2.06770764,0.258071837
0.36,2.06227062,0.091854214
0.37,1.97363625,0.007555072
0.38,1.91137811,0
0.39,1.86511367,0
0.4,1.84376754,0
0.41,1.82982655,0
0.42,1.81393274,0
0.43,1.79809617,0
0.44,1.7837907,0
0.45,1.77384592,0
0.46,1.7626354,0
0.47,1.75417518,0
0.48,1.74909738,0
0.49,1.74258417,0
0.5,1.73688049,0
0.51,1.72966323,0
0.52,1.73171017,0
0.53,1.72478287,0
0.54,1.72368148,0
0.55,1.72290782,0.000704508
0.56,1.72057196,0
0.57,1.71620456,0.000155734
0.58,1.71661329,0.002888561
0.59,1.71607562,0.003576064
0.6,1.71456325,0.003376407
0.61,1.71516883,0.003762501
0.62,1.71315605,0.004661007
0.63,1.70719635,0.000652435
0.64,1.70672662,0.003990478
0.65,1.70451932,0.008844903
0.66,1.70501306,0.004705051
0.67,1.70220516,0.006511495
0.68,1.70584488,0.009683096
0.69,1.70665574,0.007545401
0.7,1.70466313,0.001480832
0.71,1.70129282,0.007997255
0.72,1.69864814,0.006079373
0.73,1.70015337,0.00536695
0.74,1.70351099,0.003878182
0.75,1.70471172,0.008375545
0.76,1.70327947,0.003596559
0.77,1.68974153,0.005051299
0.78,1.71131139,0.005082091
0.79,1.70454125,0.004688466
0.8,1.70441152,0.012687849
0.81,1.70027824,0.014470189
0.82,1.70079185,0.008510738
0.83,1.70351393,0.006198177
0.84,1.70005552,0
0.85,1.70328995,0
0.86,1.71109394,0.002811912
0.87,1.70259009,0.002023003
0.88,1.7053301,0.003047236
0.89,1.70516118,0.003193271
0.9,1.70681466,0.002875611
0.91,1.70837014,0.002320915
0.92,1.70599218,0.000826674
0.93,1.70627532,0.002570625
0.94,1.70651115,0.004320646
0.95,1.70703409,0.000886464
0.96,1.70690286,0
0.97,1.70507418,9.38E-05
0.98,1.71044678,0.002405968
0.99,1.71237925,0
1,1.71499449,0
