"λ,n (nm)",n,k,Reference,Details
301.35037,3.1270342,0.68622947," Jie Cui,  Tom Allen,  Yimao Wan,  Josephine Mckeon,  Christian Samundsett,  Di Yan,  Xinyu Zhang,  Yanfeng Cui,  Yifeng Chen,  Pierre Verlinden and  Andres Cuevas, 'Titanium oxide: A re-emerging optical and passivating material for silicon solar cells', <i>Solar Energy Materials and Solar Cells</i> <b>158</b>, pp.115-121, (2016)",TiCl<sub>4</sub> & H<sub>2</sub>O precursors
302.93866,3.1302903,0.6605319,,
304.52698,3.132737,0.63479507,,
306.11533,3.1343658,0.60905075,,
307.7037,3.135169,0.5833314,,
309.29218,3.1351407,0.5576696,,
310.88065,3.1342757,0.5321003,,
312.46915,3.1325707,0.50665885,,
314.05768,3.1300237,0.481,,
315.6463,3.1266346,0.456,,
317.23492,3.1224046,0.4314631,,
318.82355,3.117337,0.40689978,,
320.41226,3.1114368,0.38265154,,
322.001,3.1047106,0.35875794,,
323.58978,3.0971673,0.3352595,,
325.17856,3.088818,0.31219694,,
326.7674,3.079676,0.28961143,,
328.35626,3.0697558,0.26754427,,
329.94516,3.0590754,0.2460375,,
331.5341,3.0476553,0.22513418,,
333.12305,3.0355177,0.2048764,,
334.71204,3.0226886,0.18530743,,
336.30106,3.0091963,0.16647054,,
337.89008,2.9950721,0.14840919,,
339.4792,2.980351,0.13116671,,
341.0683,2.965072,0.114787124,,
342.6574,2.9492774,0.09931426,,
344.24658,2.9330149,0.08479198,,
345.83575,2.916336,0.071264125,,
347.425,2.899299,0.05877445,,
349.01422,2.8819675,0.047366526,,
350.60345,2.8644145,0.037083667,,
352.19275,2.8467202,0.027968774,,
353.78207,2.8289773,0.020064067,,
355.3714,2.8112931,0.013411333,,
356.96075,2.7937946,0.008050916,,
358.55014,2.7766373,0.004021853,,
360.13953,2.7600257,0.0013613,,
361.72894,2.7442708,0.000104,,
363.31842,2.7300777,0,,
364.90787,2.7173238,0,,
366.49734,2.7055025,0,,
368.08685,2.6944203,0,,
369.67633,2.6839597,0,,
371.2659,2.6740375,0,,
372.85544,2.6645906,0,,
374.445,2.6555703,0,,
376.0346,2.6469355,0,,
377.6242,2.6386526,0,,
379.2138,2.6306932,0,,
380.8034,2.6230323,0,,
382.39307,2.6156485,0,,
383.98273,2.6085227,0,,
385.5724,2.601638,0,,
387.16205,2.5949798,0,,
388.75177,2.588534,0,,
390.34146,2.582289,0,,
391.93115,2.5762331,0,,
393.52087,2.5703564,0,,
395.11063,2.5646496,0,,
396.70035,2.5591042,0,,
398.2901,2.5537124,0,,
399.87982,2.5484667,0,,
401.4696,2.5433605,0,,
403.0594,2.5383873,0,,
404.64914,2.5335417,0,,
406.23892,2.5288181,0,,
407.8287,2.5242112,0,,
409.4185,2.5197163,0,,
411.00824,2.5153291,0,,
412.59805,2.5110452,0,,
414.18784,2.5068605,0,,
415.77765,2.5027716,0,,
417.36743,2.4987748,0,,
418.95728,2.4948666,0,,
420.54706,2.491044,0,,
422.13687,2.487304,0,,
423.72665,2.4836438,0,,
425.31647,2.4800606,0,,
426.90625,2.4765518,0,,
428.49603,2.473115,0,,
430.0858,2.469748,0,,
431.6756,2.4664483,0,,
433.26538,2.4632142,0,,
434.85513,2.4600432,0,,
436.44492,2.4569337,0,,
438.03467,2.4538836,0,,
439.62442,2.4508915,0,,
441.2142,2.4479554,0,,
442.8039,2.4450736,0,,
444.39365,2.4422448,0,,
445.9834,2.4394674,0,,
447.5731,2.4367402,0,,
449.16278,2.4340613,0,,
450.7525,2.4314296,0,,
452.3422,2.4288442,0,,
453.93182,2.4263034,0,,
455.52155,2.4238062,0,,
457.11118,2.4213514,0,,
458.70078,2.4189382,0,,
460.29044,2.4165652,0,,
461.88004,2.4142315,0,,
463.46964,2.411936,0,,
465.05917,2.4096782,0,,
466.64874,2.4074566,0,,
468.23828,2.4052706,0,,
469.8278,2.4031193,0,,
471.41733,2.401002,0,,
473.00677,2.3989177,0,,
474.59628,2.3968658,0,,
476.18573,2.3948455,0,,
477.77515,2.392856,0,,
479.36456,2.3908966,0,,
480.95395,2.3889668,0,,
482.5433,2.3870656,0,,
484.13266,2.3851929,0,,
485.722,2.3833475,0,,
487.31128,2.381529,0,,
488.90054,2.3797374,0,,
490.4898,2.3779712,0,,
492.079,2.3762302,0,,
493.6682,2.374514,0,,
495.25742,2.3728223,0,,
496.84653,2.371154,0,,
498.43564,2.3695092,0,,
500.02475,2.367887,0,,
501.61383,2.3662872,0,,
503.20282,2.3647094,0,,
504.79184,2.3631527,0,,
506.3808,2.361617,0,,
507.9698,2.360102,0,,
509.5587,2.3586073,0,,
511.14755,2.3571322,0,,
512.73645,2.3556767,0,,
514.32526,2.35424,0,,
515.914,2.352822,0,,
517.50275,2.3514225,0,,
519.09143,2.350041,0,,
520.6801,2.348677,0,,
522.2688,2.34733,0,,
523.85736,2.3460004,0,,
525.4459,2.3446875,0,,
527.0345,2.343391,0,,
528.623,2.3421104,0,,
530.2114,2.3408458,0,,
531.79987,2.3395967,0,,
533.38824,2.3383627,0,,
534.97656,2.337144,0,,
536.5648,2.3359396,0,,
538.15314,2.33475,0,,
539.74133,2.3335743,0,,
541.32947,2.3324127,0,,
542.9176,2.331265,0,,
544.50574,2.3301306,0,,
546.09375,2.3290098,0,,
547.68176,2.3279016,0,,
549.26965,2.3268065,0,,
550.85754,2.3257241,0,,
552.44543,2.3246539,0,,
554.03326,2.323596,0,,
555.621,2.32255,0,,
557.20874,2.321516,0,,
558.7964,2.3204937,0,,
560.38403,2.3194826,0,,
561.97156,2.3184829,0,,
563.5591,2.3174942,0,,
565.1466,2.3165164,0,,
566.734,2.3155496,0,,
568.32135,2.314593,0,,
569.9086,2.313647,0,,
571.4959,2.3127112,0,,
573.0831,2.3117855,0,,
574.6703,2.3108697,0,,
576.2573,2.3099637,0,,
577.84436,2.3090675,0,,
579.43134,2.3081806,0,,
581.0183,2.307303,0,,
582.60516,2.3064346,0,,
584.192,2.3055754,0,,
585.7787,2.3047252,0,,
587.3654,2.3038836,0,,
588.952,2.3030508,0,,
590.53864,2.3022265,0,,
592.1251,2.3014107,0,,
593.7116,2.3006032,0,,
595.298,2.2998037,0,,
