"λ,n (nm)",n,k,α (cm⁻¹),Reference,Details
200,1.7,0.85,534070.7511," M.G. Hutchins,  O. Abu-Alkhair,  M.M. El-Nahass and  K. Abd El-Hady, 'Structural and optical characterisation of thermally evaporated tungsten trioxide (WO<sub>3</sub>) thin films', <i>Materials Chemistry and Physics</i> <b>98</b>(2-3), pp.401-405, (2006)",Evaporated on quartz
220,1.85,1,571198.6643,,
240,2.05,1.02,534070.7511,,
260,2.25,0.98,473655.5078,,
280,2.45,0.8,359039.1604,,
300,2.55,0.52,217817.0906,,
320,2.65,0.15,58904.86225,,
340,2.6,0.06,22175.94814,,
360,2.5,0.04,13962.63402,,
380,2.38,0.02,6613.879271,,
400,2.31,0,,,
420,2.26,0,,,
440,2.23,0,,,
460,2.2,0,,,
480,2.18,0,,,
500,2.17,0,,,
520,2.15,0,,,
540,2.14,0,,,
560,2.13,0,,,
580,2.12,0,,,
600,2.12,0,,,
620,2.11,0,,,
640,2.1,0,,,
660,2.1,0,,,
680,2.09,0,,,
700,2.09,0,,,
720,2.08,0,,,
740,2.08,0,,,
760,2.08,0,,,
780,2.07,0,,,
800,2.07,0,,,
850,2.062,0,,,
900,2.06,0,,,
950,2.057,0,,,
1000,2.053,0,,,
1050,2.05,0,,,
1100,2.04,0,,,
1150,2.043,0,,,
1200,2.04,0,,,
1250,2.037,0,,,
1300,2.034,0,,,
1350,2.031,0,,,
1400,2.028,0,,,
1450,2.026,0,,,
1500,2.024,0,,,
1600,2.022,0,,,
1700,2.02,0,,,
1800,2.018,0,,,
1900,2.016,0,,,
2000,2.015,0,,,
